1,0
1.0430, 0.0109
1.0805, 0.0192
1.1193, 0.0275
1.1594, 0.0341
1.2224, 0.0457
1.2887, 0.0539
1.3508, 0.0673
1.4495, 0.0822
1.5555, 0.0988
1.6085, 0.1039
1.7742, 0.1259
1.8434, 0.1334
1.9589, 0.1483
2.2320, 0.1749
2.3295, 0.1825
2.4027, 0.1898
2.5466, 0.2035
2.7953, 0.2217
3.1114, 0.2449
3.2428, 0.2507
3.5563, 0.2715
3.8187, 0.2825
4.1162, 0.2980
4.5444, 0.3166
4.7750, 0.3265
4.9846, 0.3332
5.2485, 0.3477
5.7944, 0.3649
6.0735, 0.3728
6.3973, 0.3843
7.0424, 0.4022
7.8062, 0.4202
8.1119, 0.4298
8.4743, 0.4364
9.1552, 0.4538
9.9543, 0.4640
10.6821, 0.4732
12.3916, 0.5003
15.1624, 0.5347
16.7475, 0.5483
17.5954, 0.5531
18.4877, 0.5617
20.2274, 0.5766
21.2516, 0.5817
22.1542, 0.5885
25.3069, 0.6069
27.7660, 0.6182
29.4259, 0.6246
30.8584, 0.6324
35.7894, 0.6502
37.6022, 0.6560
41.5099, 0.6698
43.6120, 0.6752
45.9642, 0.6819
48.3597, 0.6883
53.3789, 0.6966
65.0412, 0.7181
71.7938, 0.7277
80.9592, 0.7413
84.3920, 0.7452
88.6322, 0.7490
97.4796, 0.7570
101.5606, 0.7602
108.0217, 0.7653
113.4898, 0.7697
119.2348, 0.7742

